,id,imdb_id,original_title,filtered_name
0,862,tt0114709,Toy Story,toy story
1,8844,tt0113497,Jumanji,jumanji
2,15602,tt0113228,Grumpier Old Men,grumpier old men
3,31357,tt0114885,Waiting to Exhale,waiting to exhale
4,11862,tt0113041,Father of the Bride Part II,father of the bride part ii
5,949,tt0113277,Heat,heat
6,11860,tt0114319,Sabrina,sabrina
7,45325,tt0112302,Tom and Huck,tom and huck
8,9091,tt0114576,Sudden Death,sudden death
9,710,tt0113189,GoldenEye,goldeneye
10,9087,tt0112346,The American President,the american president
11,12110,tt0112896,Dracula: Dead and Loving It,dracula dead and loving it
12,21032,tt0112453,Balto,balto
13,10858,tt0113987,Nixon,nixon
14,1408,tt0112760,Cutthroat Island,cutthroat island
15,524,tt0112641,Casino,casino
16,4584,tt0114388,Sense and Sensibility,sense and sensibility
17,5,tt0113101,Four Rooms,four rooms
18,9273,tt0112281,Ace Ventura: When Nature Calls,ace ventura when nature calls
19,11517,tt0113845,Money Train,money train
20,8012,tt0113161,Get Shorty,get shorty
21,1710,tt0112722,Copycat,copycat
22,9691,tt0112401,Assassins,assassins
23,12665,tt0114168,Powder,powder
24,451,tt0113627,Leaving Las Vegas,leaving las vegas
25,16420,tt0114057,Othello,othello
26,9263,tt0114011,Now and Then,now and then
27,17015,tt0114117,Persuasion,persuasion
30,9909,tt0112792,Dangerous Minds,dangerous minds
31,63,tt0114746,Twelve Monkeys,twelve monkeys
33,9598,tt0112431,Babe,babe
34,47018,tt0112637,Carrington,carrington
35,687,tt0112818,Dead Man Walking,dead man walking
36,139405,tt0112286,Across the Sea of Time,across the sea of time
37,33689,tt0113442,It Takes Two,it takes two
38,9603,tt0112697,Clueless,clueless
39,34615,tt0112749,"Cry, the Beloved Country",cry the beloved country
40,31174,tt0114279,Richard III,richard iii
41,11443,tt0112819,Dead Presidents,dead presidents
42,35196,tt0114272,Restoration,restoration
43,9312,tt0113855,Mortal Kombat,mortal kombat
44,577,tt0114681,To Die For,to die for
45,11861,tt0113347,How To Make An American Quilt,how to make an american quilt
46,807,tt0114369,Se7en,se7en
47,10530,tt0114148,Pocahontas,pocahontas
48,8391,tt0114916,When Night Is Falling,when night is falling
49,629,tt0114814,The Usual Suspects,the usual suspects
50,117164,tt0109950,Guardian Angel,guardian angel
51,11448,tt0113819,Mighty Aphrodite,mighty aphrodite
53,26441,tt0112499,The Big Green,the big green
54,97406,tt0113158,Georgia,georgia
55,124057,tt0113541,Kids of the Round Table,kids of the round table
56,9089,tt0113321,Home for the Holidays,home for the holidays
59,11359,tt0113419,The Indian in the Cupboard,the indian in the cupboard
60,17182,tt0116260,Eye for an Eye,eye for an eye
61,2054,tt0113862,Mr. Holland's Opus,mr holland s opus
62,10607,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,don t be a menace to south central while drinking your juice in the hood
63,19760,tt0118002,Two If by Sea,two if by sea
64,9536,tt0115683,Bio-Dome,bio dome
65,11525,tt0116839,Lawnmower Man 2: Beyond Cyberspace,lawnmower man 2 beyond cyberspace
66,40628,tt0114753,Two Bits,two bits
68,10634,tt0113118,Friday,friday
69,755,tt0116367,From Dusk Till Dawn,from dusk till dawn
70,11859,tt0113010,Fair Game,fair game
71,28387,tt0113537,Kicking and Screaming,kicking and screaming
73,20927,tt0115644,Bed of Roses,bed of roses
74,36929,tt0115676,Big Bully,big bully
75,9102,tt0114367,Screamers,screamers
76,124626,tt0113973,Nico Icon,nico icon
77,27526,tt0112744,The Crossing Guard,the crossing guard
78,9623,tt0116731,The Juror,the juror
80,400,tt0114660,Things to Do in Denver When You're Dead,things to do in denver when you re dead
82,146599,tt0114039,Once Upon a Time... When We Were Colored,once upon a time when we were colored
83,188588,tt0113612,Last Summer in the Hamptons,last summer in the hamptons
84,8447,tt0112365,Angels and Insects,angels and insects
85,10534,tt0118158,White Squall,white squall
86,17414,tt0116151,Dunston Checks In,dunston checks in
87,13997,tt0115697,Black Sheep,black sheep
88,2086,tt0113972,Nick of Time,nick of time
89,61548,tt0113490,The Journey of August King,the journey of august king
90,9095,tt0117002,Mary Reilly,mary reilly
